indicator_code,filename,mode,sample_index,rows,cols,window_cells,elapsed_ns
PM25,PM25.tif,open_only,0,1024,1024,1048576,9468872
PM25,PM25.tif,masked_read_new_handle,0,1024,1024,1048576,108866660
PM25,PM25.tif,masked_reread_same_handle,0,1024,1024,1048576,3352882
PM25,PM25.tif,data_read,0,1024,1024,1048576,71838159
PM25,PM25.tif,mask_read,0,1024,1024,1048576,240129471
PM25,PM25.tif,data_plus_mask,0,1024,1024,1048576,356023959
PM25,PM25.tif,masked_read_new_handle,1,1024,1024,1048576,243000754
PM25,PM25.tif,masked_reread_same_handle,1,1024,1024,1048576,3412988
PM25,PM25.tif,data_read,1,1024,1024,1048576,120088742
PM25,PM25.tif,mask_read,1,1024,1024,1048576,114971567
PM25,PM25.tif,data_plus_mask,1,1024,1024,1048576,71458505
PM25,PM25.tif,open_only,1,1024,1024,1048576,17063864
PM25,PM25.tif,masked_reread_same_handle,2,1024,1024,1048576,2654303
PM25,PM25.tif,data_read,2,1024,1024,1048576,114515923
PM25,PM25.tif,mask_read,2,1024,1024,1048576,136720240
PM25,PM25.tif,data_plus_mask,2,1024,1024,1048576,154860308
PM25,PM25.tif,open_only,2,1024,1024,1048576,13293184
PM25,PM25.tif,masked_read_new_handle,2,1024,1024,1048576,146805914
PM25,PM25.tif,data_read,3,1024,1024,1048576,77837745
PM25,PM25.tif,mask_read,3,1024,1024,1048576,102688770
PM25,PM25.tif,data_plus_mask,3,1024,1024,1048576,241821198
PM25,PM25.tif,open_only,3,1024,1024,1048576,14369227
PM25,PM25.tif,masked_read_new_handle,3,1024,1024,1048576,169868714
PM25,PM25.tif,masked_reread_same_handle,3,1024,1024,1048576,2593946
PM25,PM25.tif,mask_read,4,1024,1024,1048576,165553808
PM25,PM25.tif,data_plus_mask,4,1024,1024,1048576,233205688
PM25,PM25.tif,open_only,4,1024,1024,1048576,17152811
PM25,PM25.tif,masked_read_new_handle,4,1024,1024,1048576,261796451
PM25,PM25.tif,masked_reread_same_handle,4,1024,1024,1048576,6335498
PM25,PM25.tif,data_read,4,1024,1024,1048576,109159781
AQI,AQI.tif,open_only,0,1024,1024,1048576,16539867
AQI,AQI.tif,masked_read_new_handle,0,1024,1024,1048576,106801796
AQI,AQI.tif,masked_reread_same_handle,0,1024,1024,1048576,4391485
AQI,AQI.tif,data_read,0,1024,1024,1048576,180605125
AQI,AQI.tif,mask_read,0,1024,1024,1048576,115076886
AQI,AQI.tif,data_plus_mask,0,1024,1024,1048576,141787364
AQI,AQI.tif,masked_read_new_handle,1,1024,1024,1048576,119171279
AQI,AQI.tif,masked_reread_same_handle,1,1024,1024,1048576,3530441
AQI,AQI.tif,data_read,1,1024,1024,1048576,108640439
AQI,AQI.tif,mask_read,1,1024,1024,1048576,180278349
AQI,AQI.tif,data_plus_mask,1,1024,1024,1048576,150023114
AQI,AQI.tif,open_only,1,1024,1024,1048576,21664431
AQI,AQI.tif,masked_reread_same_handle,2,1024,1024,1048576,3957425
AQI,AQI.tif,data_read,2,1024,1024,1048576,207971387
AQI,AQI.tif,mask_read,2,1024,1024,1048576,211427571
AQI,AQI.tif,data_plus_mask,2,1024,1024,1048576,307811609
AQI,AQI.tif,open_only,2,1024,1024,1048576,9291896
AQI,AQI.tif,masked_read_new_handle,2,1024,1024,1048576,263355132
AQI,AQI.tif,data_read,3,1024,1024,1048576,255556900
AQI,AQI.tif,mask_read,3,1024,1024,1048576,321470261
