family,aoi,indicator_count,indicator_codes,sample_index,rows,cols,window_cells,valid_cells,pipeline_elapsed_ms,validation_elapsed_ms,validation_timing,validation_included_in_total_service,total_service_elapsed_ms,spatial_elapsed_ms,feature_count,response_bytes,transport
compute,small,3,"PM25,AQI,NDVI",0,128,128,16384,16384,125.741275,22.528541,standalone_post_execute_warm_cache,False,128.326365,,,,
compute,small,3,"PM25,AQI,NDVI",1,128,128,16384,16384,109.638763,27.392135,standalone_post_execute_warm_cache,False,112.626111,,,,
compute,small,3,"PM25,AQI,NDVI",2,128,128,16384,16384,91.3567,21.402311,standalone_post_execute_warm_cache,False,93.209667,,,,
compute,small,3,"PM25,AQI,NDVI",3,128,128,16384,16384,119.420281,27.91751,standalone_post_execute_warm_cache,False,123.095985,,,,
compute,small,3,"PM25,AQI,NDVI",4,128,128,16384,16384,89.46349,24.239614,standalone_post_execute_warm_cache,False,91.383031,,,,
compute,medium,3,"PM25,AQI,NDVI",0,384,384,147456,145560,231.485189,165.864714,standalone_post_execute_warm_cache,False,234.575672,,,,
compute,medium,3,"PM25,AQI,NDVI",1,384,384,147456,145560,128.596872,162.212956,standalone_post_execute_warm_cache,False,131.166077,,,,
compute,medium,3,"PM25,AQI,NDVI",2,384,384,147456,145560,99.725378,173.446038,standalone_post_execute_warm_cache,False,102.080846,,,,
compute,medium,3,"PM25,AQI,NDVI",3,384,384,147456,145560,37.987356,165.348345,standalone_post_execute_warm_cache,False,40.318582,,,,
compute,medium,3,"PM25,AQI,NDVI",4,384,384,147456,145560,143.021168,166.124784,standalone_post_execute_warm_cache,False,145.95001,,,,
compute,large,3,"PM25,AQI,NDVI",0,1024,1024,1048576,736372,224.864238,988.164313,standalone_post_execute_warm_cache,False,232.497185,,,,
compute,large,3,"PM25,AQI,NDVI",1,1024,1024,1048576,736372,134.804924,1003.000446,standalone_post_execute_warm_cache,False,140.027203,,,,
compute,large,3,"PM25,AQI,NDVI",2,1024,1024,1048576,736372,190.536857,978.611111,standalone_post_execute_warm_cache,False,195.537645,,,,
compute,large,3,"PM25,AQI,NDVI",3,1024,1024,1048576,736372,289.69315,1007.762683,standalone_post_execute_warm_cache,False,296.420682,,,,
compute,large,3,"PM25,AQI,NDVI",4,1024,1024,1048576,736372,407.284301,1021.504596,standalone_post_execute_warm_cache,False,416.402641,,,,
compute,small,6,"PM25,AQI,NDVI,rkmd,gyfb,fmyl",0,128,128,16384,16139,149.280718,26.048694,standalone_post_execute_warm_cache,False,154.359224,,,,
compute,small,6,"PM25,AQI,NDVI,rkmd,gyfb,fmyl",1,128,128,16384,16139,105.645997,19.082357,standalone_post_execute_warm_cache,False,108.631872,,,,
compute,small,6,"PM25,AQI,NDVI,rkmd,gyfb,fmyl",2,128,128,16384,16139,98.011882,28.843347,standalone_post_execute_warm_cache,False,103.072714,,,,
compute,small,6,"PM25,AQI,NDVI,rkmd,gyfb,fmyl",3,128,128,16384,16139,120.594629,19.568998,standalone_post_execute_warm_cache,False,122.340287,,,,
compute,small,6,"PM25,AQI,NDVI,rkmd,gyfb,fmyl",4,128,128,16384,16139,115.735974,19.724162,standalone_post_execute_warm_cache,False,119.318658,,,,
compute,medium,6,"PM25,AQI,NDVI,rkmd,gyfb,fmyl",0,384,384,147456,140156,315.578874,156.368085,standalone_post_execute_warm_cache,False,318.163202,,,,
compute,medium,6,"PM25,AQI,NDVI,rkmd,gyfb,fmyl",1,384,384,147456,140156,357.843695,179.603054,standalone_post_execute_warm_cache,False,360.917393,,,,
compute,medium,6,"PM25,AQI,NDVI,rkmd,gyfb,fmyl",2,384,384,147456,140156,321.270932,159.289592,standalone_post_execute_warm_cache,False,324.883732,,,,
compute,medium,6,"PM25,AQI,NDVI,rkmd,gyfb,fmyl",3,384,384,147456,140156,421.300687,161.08888,standalone_post_execute_warm_cache,False,423.72129,,,,
